Date,Location,Latitude,Longitude,Text
May 1st,Western Front,43.000039640351694,-70.9632045382392,"""Announcements from the German General Government. Daily German report. BERLIN, May 1st. (Official report from this afternoon.) Western Front. The battles on the western bank of the canal to the northwest of Ypres, which we mentioned yesterday, ended in a very costly defeat for the enemy. To the east of the canal, north of Ypres, he made futile attacks. The bombardment of the fortress of Dunkirk continues. Between the Meuse and the Moselle, infantry battles only took place in the area of Ailly and Apremont. All French attacks failed and cost the enemy very heavy losses. In response to the shelling of our rest areas behind the front, we launched several shells into Reims on April 29th. The enemy can easily avoid a bombardment of Reims, as he is well aware of the reason for our actions. Yesterday, the enemy again lost three aircraft. To the northwest of Thielt, an English aircraft was shot down; another aircraft was brought down and destroyed by our fire near Wieltje, northwest of Ypres. The third, which was part of an enemy squadron, had to land at Nieder-Sulzbach.

Eastern Front. The battle at Szawla ended in our favor. The enemy, who suffered heavy losses, fled in the direction of Nitau after setting Szawla on fire in four places. The pursuit continues. So far, we have captured 1,000 prisoners and seized ten machine guns, large quantities of goods, ammunition wagons, and especially a lot of ammunition. Enemy attacks at Kalvaria and to the southwest of there were repelled with significant losses for the Russians. Here we captured another 350 men. However, the Russians succeeded in overrunning a German outpost company southwest of Augustowo at night and inflicted severe losses. East of Plock and on the southern bank of the Pilica, we repelled weak Russian attacks.

CONSTANTINOPLE, May 1st. On April 30th, at 5:25 p.m., the Headquarters reports: At Kaba Tepe and Gallipoli, the enemy attempted to escape from the narrow strip of land on which he was trapped. However, we thwarted his attempts and forced him back to within 500 meters of the coastline, where he found protection from his fleet. We inflicted extraordinarily heavy losses on him. We completely thwarted an enemy attempt to land troops in the Gulf of Saros under the protection of part of his fleet. From the other battlefields, there is nothing significant to report.

CONSTANTINOPLE, May 1st. It is reported from Erzerum: For three days, battles between scouts have been taking place south of Artvin. The enemy was repulsed everywhere with heavy losses. After a two-hour battle, the Russians retreated eastward.

The General Government"""
April 29th,Reims,49.2577886,4.031926,"""Announcements from the German General Government. Daily German report. BERLIN, May 1st. (Official report from this afternoon.) Western Front. The battles on the western bank of the canal to the northwest of Ypres, which we mentioned yesterday, ended in a very costly defeat for the enemy. To the east of the canal, north of Ypres, he made futile attacks. The bombardment of the fortress of Dunkirk continues. Between the Meuse and the Moselle, infantry battles only took place in the area of Ailly and Apremont. All French attacks failed and cost the enemy very heavy losses. In response to the shelling of our rest areas behind the front, we launched several shells into Reims on April 29th. The enemy can easily avoid a bombardment of Reims, as he is well aware of the reason for our actions. Yesterday, the enemy again lost three aircraft. To the northwest of Thielt, an English aircraft was shot down; another aircraft was brought down and destroyed by our fire near Wieltje, northwest of Ypres. The third, which was part of an enemy squadron, had to land at Nieder-Sulzbach.

Eastern Front. The battle at Szawla ended in our favor. The enemy, who suffered heavy losses, fled in the direction of Nitau after setting Szawla on fire in four places. The pursuit continues. So far, we have captured 1,000 prisoners and seized ten machine guns, large quantities of goods, ammunition wagons, and especially a lot of ammunition. Enemy attacks at Kalvaria and to the southwest of there were repelled with significant losses for the Russians. Here we captured another 350 men. However, the Russians succeeded in overrunning a German outpost company southwest of Augustowo at night and inflicted severe losses. East of Plock and on the southern bank of the Pilica, we repelled weak Russian attacks.

CONSTANTINOPLE, May 1st. On April 30th, at 5:25 p.m., the Headquarters reports: At Kaba Tepe and Gallipoli, the enemy attempted to escape from the narrow strip of land on which he was trapped. However, we thwarted his attempts and forced him back to within 500 meters of the coastline, where he found protection from his fleet. We inflicted extraordinarily heavy losses on him. We completely thwarted an enemy attempt to land troops in the Gulf of Saros under the protection of part of his fleet. From the other battlefields, there is nothing significant to report.

CONSTANTINOPLE, May 1st. It is reported from Erzerum: For three days, battles between scouts have been taking place south of Artvin. The enemy was repulsed everywhere with heavy losses. After a two-hour battle, the Russians retreated eastward.

The General Government"""
May 1st,Eastern Front,-36.89112410660904,175.04077774630727,"""Announcements from the German General Government. Daily German report. BERLIN, May 1st. (Official report from this afternoon.) Western Front. The battles on the western bank of the canal to the northwest of Ypres, which we mentioned yesterday, ended in a very costly defeat for the enemy. To the east of the canal, north of Ypres, he made futile attacks. The bombardment of the fortress of Dunkirk continues. Between the Meuse and the Moselle, infantry battles only took place in the area of Ailly and Apremont. All French attacks failed and cost the enemy very heavy losses. In response to the shelling of our rest areas behind the front, we launched several shells into Reims on April 29th. The enemy can easily avoid a bombardment of Reims, as he is well aware of the reason for our actions. Yesterday, the enemy again lost three aircraft. To the northwest of Thielt, an English aircraft was shot down; another aircraft was brought down and destroyed by our fire near Wieltje, northwest of Ypres. The third, which was part of an enemy squadron, had to land at Nieder-Sulzbach.

Eastern Front. The battle at Szawla ended in our favor. The enemy, who suffered heavy losses, fled in the direction of Nitau after setting Szawla on fire in four places. The pursuit continues. So far, we have captured 1,000 prisoners and seized ten machine guns, large quantities of goods, ammunition wagons, and especially a lot of ammunition. Enemy attacks at Kalvaria and to the southwest of there were repelled with significant losses for the Russians. Here we captured another 350 men. However, the Russians succeeded in overrunning a German outpost company southwest of Augustowo at night and inflicted severe losses. East of Plock and on the southern bank of the Pilica, we repelled weak Russian attacks.

CONSTANTINOPLE, May 1st. On April 30th, at 5:25 p.m., the Headquarters reports: At Kaba Tepe and Gallipoli, the enemy attempted to escape from the narrow strip of land on which he was trapped. However, we thwarted his attempts and forced him back to within 500 meters of the coastline, where he found protection from his fleet. We inflicted extraordinarily heavy losses on him. We completely thwarted an enemy attempt to land troops in the Gulf of Saros under the protection of part of his fleet. From the other battlefields, there is nothing significant to report.

CONSTANTINOPLE, May 1st. It is reported from Erzerum: For three days, battles between scouts have been taking place south of Artvin. The enemy was repulsed everywhere with heavy losses. After a two-hour battle, the Russians retreated eastward.

The General Government"""
April 30th,Kaba Tepe and Gallipoli,,,"""Announcements from the German General Government. Daily German report. BERLIN, May 1st. (Official report from this afternoon.) Western Front. The battles on the western bank of the canal to the northwest of Ypres, which we mentioned yesterday, ended in a very costly defeat for the enemy. To the east of the canal, north of Ypres, he made futile attacks. The bombardment of the fortress of Dunkirk continues. Between the Meuse and the Moselle, infantry battles only took place in the area of Ailly and Apremont. All French attacks failed and cost the enemy very heavy losses. In response to the shelling of our rest areas behind the front, we launched several shells into Reims on April 29th. The enemy can easily avoid a bombardment of Reims, as he is well aware of the reason for our actions. Yesterday, the enemy again lost three aircraft. To the northwest of Thielt, an English aircraft was shot down; another aircraft was brought down and destroyed by our fire near Wieltje, northwest of Ypres. The third, which was part of an enemy squadron, had to land at Nieder-Sulzbach.

Eastern Front. The battle at Szawla ended in our favor. The enemy, who suffered heavy losses, fled in the direction of Nitau after setting Szawla on fire in four places. The pursuit continues. So far, we have captured 1,000 prisoners and seized ten machine guns, large quantities of goods, ammunition wagons, and especially a lot of ammunition. Enemy attacks at Kalvaria and to the southwest of there were repelled with significant losses for the Russians. Here we captured another 350 men. However, the Russians succeeded in overrunning a German outpost company southwest of Augustowo at night and inflicted severe losses. East of Plock and on the southern bank of the Pilica, we repelled weak Russian attacks.

CONSTANTINOPLE, May 1st. On April 30th, at 5:25 p.m., the Headquarters reports: At Kaba Tepe and Gallipoli, the enemy attempted to escape from the narrow strip of land on which he was trapped. However, we thwarted his attempts and forced him back to within 500 meters of the coastline, where he found protection from his fleet. We inflicted extraordinarily heavy losses on him. We completely thwarted an enemy attempt to land troops in the Gulf of Saros under the protection of part of his fleet. From the other battlefields, there is nothing significant to report.

CONSTANTINOPLE, May 1st. It is reported from Erzerum: For three days, battles between scouts have been taking place south of Artvin. The enemy was repulsed everywhere with heavy losses. After a two-hour battle, the Russians retreated eastward.

The General Government"""
May 1st,Erzerum,50.8571955,57.8575708,"""Announcements from the German General Government. Daily German report. BERLIN, May 1st. (Official report from this afternoon.) Western Front. The battles on the western bank of the canal to the northwest of Ypres, which we mentioned yesterday, ended in a very costly defeat for the enemy. To the east of the canal, north of Ypres, he made futile attacks. The bombardment of the fortress of Dunkirk continues. Between the Meuse and the Moselle, infantry battles only took place in the area of Ailly and Apremont. All French attacks failed and cost the enemy very heavy losses. In response to the shelling of our rest areas behind the front, we launched several shells into Reims on April 29th. The enemy can easily avoid a bombardment of Reims, as he is well aware of the reason for our actions. Yesterday, the enemy again lost three aircraft. To the northwest of Thielt, an English aircraft was shot down; another aircraft was brought down and destroyed by our fire near Wieltje, northwest of Ypres. The third, which was part of an enemy squadron, had to land at Nieder-Sulzbach.

Eastern Front. The battle at Szawla ended in our favor. The enemy, who suffered heavy losses, fled in the direction of Nitau after setting Szawla on fire in four places. The pursuit continues. So far, we have captured 1,000 prisoners and seized ten machine guns, large quantities of goods, ammunition wagons, and especially a lot of ammunition. Enemy attacks at Kalvaria and to the southwest of there were repelled with significant losses for the Russians. Here we captured another 350 men. However, the Russians succeeded in overrunning a German outpost company southwest of Augustowo at night and inflicted severe losses. East of Plock and on the southern bank of the Pilica, we repelled weak Russian attacks.

CONSTANTINOPLE, May 1st. On April 30th, at 5:25 p.m., the Headquarters reports: At Kaba Tepe and Gallipoli, the enemy attempted to escape from the narrow strip of land on which he was trapped. However, we thwarted his attempts and forced him back to within 500 meters of the coastline, where he found protection from his fleet. We inflicted extraordinarily heavy losses on him. We completely thwarted an enemy attempt to land troops in the Gulf of Saros under the protection of part of his fleet. From the other battlefields, there is nothing significant to report.

CONSTANTINOPLE, May 1st. It is reported from Erzerum: For three days, battles between scouts have been taking place south of Artvin. The enemy was repulsed everywhere with heavy losses. After a two-hour battle, the Russians retreated eastward.

The General Government"""
May 3,Flanders,51.096246199999996,4.178629103169916,"Announcements from the
German General
Government.

Daily German Report.

BERLIN, May 3. (Official report from
this afternoon.)

Western Theater of War.

- In Flanders, we successfully launched attacks on both sides of the Poelkappelle-Ypres road and captured the farms ""The Fortune"", southeast of St. Julian. In Champagne, our well-executed mine explosions caused significant damage to the enemy position between Souain and Perthes. Between the Meuse and Moselle, only artillery was active yesterday. At Hartmannswillerkopf, the French unsuccessfully attempted to attack our position on the summit last night. Yesterday, a French aircraft landed at Hundlingen, west of Sargemund; both occupants were captured. A German aircraft squadron successfully attacked, evidently, the aircraft hangar and the station of Epinal.

Eastern Theater of War.

In the pursuit of the Russians fleeing towards Riga, we captured 4 cannons, 4 machine guns, and took 1,700 prisoners south of Mitau yesterday. This brings the total number of prisoners to 3,200. Southwest of Kalvaria, Russian attacks failed with heavy losses for the enemy: the Russians were driven back over the Scesupa and left 330 prisoners in our hands. The Russians also suffered a severe defeat northeast of Skierniewice: in addition to numerous dead, they lost 100 men as prisoners.

Southeastern Theater of War.

In the presence of the supreme commander, Field Marshal Archduke Friedrich, and under the leadership of General von Mackensen, the allied troops broke through the entire Russian front in Western Galicia yesterday after bitter battles, from near the Hungarian border to the mouth of the Dunajec in the Vistula, and pushed it back everywhere. The enemy troops that could escape are being closely pursued by the allied armies in full retreat to the east. The spoils of victory cannot yet be estimated, even approximately.

The General Government in Belgium"
May 3,Champagne,45.831944,-0.906667,"Announcements from the
German General
Government.

Daily German Report.

BERLIN, May 3. (Official report from
this afternoon.)

Western Theater of War.

- In Flanders, we successfully launched attacks on both sides of the Poelkappelle-Ypres road and captured the farms ""The Fortune"", southeast of St. Julian. In Champagne, our well-executed mine explosions caused significant damage to the enemy position between Souain and Perthes. Between the Meuse and Moselle, only artillery was active yesterday. At Hartmannswillerkopf, the French unsuccessfully attempted to attack our position on the summit last night. Yesterday, a French aircraft landed at Hundlingen, west of Sargemund; both occupants were captured. A German aircraft squadron successfully attacked, evidently, the aircraft hangar and the station of Epinal.

Eastern Theater of War.

In the pursuit of the Russians fleeing towards Riga, we captured 4 cannons, 4 machine guns, and took 1,700 prisoners south of Mitau yesterday. This brings the total number of prisoners to 3,200. Southwest of Kalvaria, Russian attacks failed with heavy losses for the enemy: the Russians were driven back over the Scesupa and left 330 prisoners in our hands. The Russians also suffered a severe defeat northeast of Skierniewice: in addition to numerous dead, they lost 100 men as prisoners.

Southeastern Theater of War.

In the presence of the supreme commander, Field Marshal Archduke Friedrich, and under the leadership of General von Mackensen, the allied troops broke through the entire Russian front in Western Galicia yesterday after bitter battles, from near the Hungarian border to the mouth of the Dunajec in the Vistula, and pushed it back everywhere. The enemy troops that could escape are being closely pursued by the allied armies in full retreat to the east. The spoils of victory cannot yet be estimated, even approximately.

The General Government in Belgium"
May 3,Between the Meuse and Moselle,,,"Announcements from the
German General
Government.

Daily German Report.

BERLIN, May 3. (Official report from
this afternoon.)

Western Theater of War.

- In Flanders, we successfully launched attacks on both sides of the Poelkappelle-Ypres road and captured the farms ""The Fortune"", southeast of St. Julian. In Champagne, our well-executed mine explosions caused significant damage to the enemy position between Souain and Perthes. Between the Meuse and Moselle, only artillery was active yesterday. At Hartmannswillerkopf, the French unsuccessfully attempted to attack our position on the summit last night. Yesterday, a French aircraft landed at Hundlingen, west of Sargemund; both occupants were captured. A German aircraft squadron successfully attacked, evidently, the aircraft hangar and the station of Epinal.

Eastern Theater of War.

In the pursuit of the Russians fleeing towards Riga, we captured 4 cannons, 4 machine guns, and took 1,700 prisoners south of Mitau yesterday. This brings the total number of prisoners to 3,200. Southwest of Kalvaria, Russian attacks failed with heavy losses for the enemy: the Russians were driven back over the Scesupa and left 330 prisoners in our hands. The Russians also suffered a severe defeat northeast of Skierniewice: in addition to numerous dead, they lost 100 men as prisoners.

Southeastern Theater of War.

In the presence of the supreme commander, Field Marshal Archduke Friedrich, and under the leadership of General von Mackensen, the allied troops broke through the entire Russian front in Western Galicia yesterday after bitter battles, from near the Hungarian border to the mouth of the Dunajec in the Vistula, and pushed it back everywhere. The enemy troops that could escape are being closely pursued by the allied armies in full retreat to the east. The spoils of victory cannot yet be estimated, even approximately.

The General Government in Belgium"
May 3,Hartmannswillerkopf,47.8609139,7.1610179,"Announcements from the
German General
Government.

Daily German Report.

BERLIN, May 3. (Official report from
this afternoon.)

Western Theater of War.

- In Flanders, we successfully launched attacks on both sides of the Poelkappelle-Ypres road and captured the farms ""The Fortune"", southeast of St. Julian. In Champagne, our well-executed mine explosions caused significant damage to the enemy position between Souain and Perthes. Between the Meuse and Moselle, only artillery was active yesterday. At Hartmannswillerkopf, the French unsuccessfully attempted to attack our position on the summit last night. Yesterday, a French aircraft landed at Hundlingen, west of Sargemund; both occupants were captured. A German aircraft squadron successfully attacked, evidently, the aircraft hangar and the station of Epinal.

Eastern Theater of War.

In the pursuit of the Russians fleeing towards Riga, we captured 4 cannons, 4 machine guns, and took 1,700 prisoners south of Mitau yesterday. This brings the total number of prisoners to 3,200. Southwest of Kalvaria, Russian attacks failed with heavy losses for the enemy: the Russians were driven back over the Scesupa and left 330 prisoners in our hands. The Russians also suffered a severe defeat northeast of Skierniewice: in addition to numerous dead, they lost 100 men as prisoners.

Southeastern Theater of War.

In the presence of the supreme commander, Field Marshal Archduke Friedrich, and under the leadership of General von Mackensen, the allied troops broke through the entire Russian front in Western Galicia yesterday after bitter battles, from near the Hungarian border to the mouth of the Dunajec in the Vistula, and pushed it back everywhere. The enemy troops that could escape are being closely pursued by the allied armies in full retreat to the east. The spoils of victory cannot yet be estimated, even approximately.

The General Government in Belgium"
May 3,Hundlingen,49.1072218,6.9802341,"Announcements from the
German General
Government.

Daily German Report.

BERLIN, May 3. (Official report from
this afternoon.)

Western Theater of War.

- In Flanders, we successfully launched attacks on both sides of the Poelkappelle-Ypres road and captured the farms ""The Fortune"", southeast of St. Julian. In Champagne, our well-executed mine explosions caused significant damage to the enemy position between Souain and Perthes. Between the Meuse and Moselle, only artillery was active yesterday. At Hartmannswillerkopf, the French unsuccessfully attempted to attack our position on the summit last night. Yesterday, a French aircraft landed at Hundlingen, west of Sargemund; both occupants were captured. A German aircraft squadron successfully attacked, evidently, the aircraft hangar and the station of Epinal.

Eastern Theater of War.

In the pursuit of the Russians fleeing towards Riga, we captured 4 cannons, 4 machine guns, and took 1,700 prisoners south of Mitau yesterday. This brings the total number of prisoners to 3,200. Southwest of Kalvaria, Russian attacks failed with heavy losses for the enemy: the Russians were driven back over the Scesupa and left 330 prisoners in our hands. The Russians also suffered a severe defeat northeast of Skierniewice: in addition to numerous dead, they lost 100 men as prisoners.

Southeastern Theater of War.

In the presence of the supreme commander, Field Marshal Archduke Friedrich, and under the leadership of General von Mackensen, the allied troops broke through the entire Russian front in Western Galicia yesterday after bitter battles, from near the Hungarian border to the mouth of the Dunajec in the Vistula, and pushed it back everywhere. The enemy troops that could escape are being closely pursued by the allied armies in full retreat to the east. The spoils of victory cannot yet be estimated, even approximately.

The General Government in Belgium"
